id,name,thumbnail,episode_id,episode_name,embed_code
1,When Life Gives You Tangerines(multi-audio),https://m.media-amazon.com/images/M/MV5BZTBhZTcwNWUtOTZjMi00ZjI2LWEzMzMtNWJkMWQ2ZDA0NTU3XkEyXkFqcGc@._V1_FMjpg_UX1200_.jpg,1,Episode-1,"<IFRAME SRC='https://cybervynx.com/e/ff3sxjjdo4gh' FRAMEBORDER=0 MARGINWIDTH=0 MARGINHEIGHT=0 SCROLLING=NO WIDTH=640 HEIGHT=360 allowfullscreen></IFRAME>"
1,When Life Gives You Tangerines,https://m.media-amazon.com/images/M/MV5BNDU5NTY2YjgtNGZjNy00MTk2LWExM2QtOTdlMjhjZTE5MTMxXkEyXkFqcGc@._V1_.jpg,2,Episode-2,"<IFRAME SRC='https://cybervynx.com/e/16e1auqjxla1' FRAMEBORDER=0 MARGINWIDTH=0 MARGINHEIGHT=0 SCROLLING=NO WIDTH=640 HEIGHT=360 allowfullscreen></IFRAME>"
1,When Life Gives You Tangerines,https://m.media-amazon.com/images/M/MV5BNDU5NTY2YjgtNGZjNy00MTk2LWExM2QtOTdlMjhjZTE5MTMxXkEyXkFqcGc@._V1_.jpg,3,Episode-3,"<IFRAME SRC='https://cybervynx.com/e/9kenvscjs3fb' FRAMEBORDER=0 MARGINWIDTH=0 MARGINHEIGHT=0 SCROLLING=NO WIDTH=640 HEIGHT=360 allowfullscreen></IFRAME>"
1,When Life Gives You Tangerines,https://m.media-amazon.com/images/M/MV5BNDU5NTY2YjgtNGZjNy00MTk2LWExM2QtOTdlMjhjZTE5MTMxXkEyXkFqcGc@._V1_.jpg,4,Episode-4,"<IFRAME SRC='https://cybervynx.com/e/vs7dbcoza54c' FRAMEBORDER=0 MARGINWIDTH=0 MARGINHEIGHT=0 SCROLLING=NO WIDTH=640 HEIGHT=360 allowfullscreen></IFRAME>"
2,Kalki 2898 AD,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4b40Z2YA_Tj0waFlwW9qyjqLz1kGn_5u93is9_ZTuAEOXRAG6oV2WkQ0&s=10,1,Hindi,"<iframe width='640' height='360' src='https://short.icu/cdMNN43fw' frameborder='0' scrolling='0' allowfullscreen></iframe>"
3,Sankranthiki Vasthunam (Hindi Dubbed),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYugQWv7mz-7oRay9lMcbJIJY5WhsCq0MpbfjujhMTocOeVBnpmG9GnwQ&s=10,1,Hindi Dubbed,"<iframe width='640' height='360' src='https://short.icu/J2XYmZ-gZ' frameborder='0' scrolling='0' allowfullscreen></iframe>"
4,Vidaamuyarchi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpyB8v1lXfJ-2cklRxZ-Xs6fYq0O_pLfpyBdSj9jbf7j8ROh28DznLWd4X&s=10,1,Hindi Dubbed,"<iframe width='640' height='360' src='https://short.icu/G_8aAizkL' thumbnail='https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGTiUtqqoeEHqr3mC4wC6rxmoJ8_MDJ9UXmHD-_9HNl-HtZVB3_l0aSOw&s=10' frameborder='0' scrolling='0' allowfullscreen></iframe>"
5,Captain America: Brave New World,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTabN365DVe70WAIWV_AeXaAUH__rJ9UBccdTPWo_lW4TOLTx-FyioEpjE&s=10,1,Dual Audio,"<IFRAME SRC='https://cybervynx.com/e/0blqamh6ffz4' FRAMEBORDER=0 MARGINWIDTH=0 MARGINHEIGHT=0 SCROLLING=NO WIDTH=640 HEIGHT=360 allowfullscreen></IFRAME>"
6,Marco,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbXAtK9YOxKhzAenpl6qO4tXcUjlkR57acZlpGBqBCHDeznZYLnoCDCEo&s=10,1,Hindi Dubbed,"<IFRAME SRC='https://cybervynx.com/e/n4bk9h8tlwph' FRAMEBORDER=0 MARGINWIDTH=0 MARGINHEIGHT=0 SCROLLING=NO WIDTH=640 HEIGHT=360 allowfullscreen></IFRAME>"
7,Nadaaniyan,https://m.media-amazon.com/images/M/MV5BNDRkNWM0NTQtZmIyNy00MzZmLWI4OTktNzM0NTMzMGJiYzUyXkEyXkFqcGc@._V1_FMjpg_UY2048_.jpg,1,Hindi,"<IFRAME SRC='https://cybervynx.com/e/5s1v7pi6k4q3' FRAMEBORDER=0 MARGINWIDTH=0 MARGINHEIGHT=0 SCROLLING=NO WIDTH=640 HEIGHT=360 allowfullscreen></IFRAME>"
